rowOrder;titleOrderInRow;positionScore
6;19;195.6201075543033
6;20;185.83910217658814
6;21;176.54714706775871
6;22;167.71978971437076
6;23;159.33380022865222
6;24;151.36711021721962
6;25;143.79875470635864
6;26;136.6088169710407
6;27;129.77837612248868
6;28;123.28945731636423
6;29;117.12498445054602
6;30;111.26873522801871
6;31;105.70529846661778
6;32;100.42003354328688
6;33;95.39903186612253
6;34;90.6290802728164
6;35;86.09762625917557
6;36;81.79274494621679
6;37;77.70310769890594
6;38;73.81795231396063
6;39;70.1270546982626
6;40;66.62070196334946
6;41;63.289666865181985
6;42;60.125183521922885
6;43;57.11892434582674
6;44;54.2629781285354
6;45;51.54982922210863
6;46;48.972337761003196
6;47;46.523720872953035
6;48;44.19753482930538
6;49;41.98765808784011
6;50;39.8882751834481
6;51;37.89386142427569
6;52;35.999168353061904
6;53;34.19920993540881
6;54;32.48924943863837
6;55;30.864786966706447
6;56;29.321547618371124
6;57;27.855470237452565
6;58;26.462696725579935
6;59;25.139561889300936
6;60;23.882583794835888
6;61;22.688454605094094
6;62;21.55403187483939
6;63;20.476330281097418
6;64;19.452513767042547
6;65;18.47988807869042
6;66;17.555893674755897
6;67;16.6780989910181
6;68;15.844194041467194
6;69;15.051984339393833
6;70;14.299385122424141
7;1;586.4445
7;2;557.122275
7;3;529.2661612499999
7;4;502.80285318749986
7;5;452.5225678687499
7;6;362.01805429499996
7;7;343.91715158024994
7;8;326.7212940012374
7;9;310.3852293011755
7;10;294.86596783611674
7;11;280.1226694443109
7;12;266.11653597209533
7;13;252.81070917349055
7;14;240.170173714816
7;15;228.16166502907518
7;16;216.7535817776214
7;17;205.91590268874032
7;18;195.6201075543033
7;19;185.83910217658814
7;20;176.54714706775871
7;21;167.71978971437076
7;22;159.33380022865222
7;23;151.36711021721962
7;24;143.79875470635864
7;25;136.6088169710407
7;26;129.77837612248868
7;27;123.28945731636423
7;28;117.12498445054602
7;29;111.26873522801871
7;30;105.70529846661778
7;31;100.42003354328688
7;32;95.39903186612253
7;33;90.6290802728164
7;34;86.09762625917557
7;35;81.79274494621679
7;36;77.70310769890594
7;37;73.81795231396063
7;38;70.1270546982626
7;39;66.62070196334946
7;40;63.289666865181985
7;41;60.125183521922885
7;42;57.11892434582674
7;43;54.2629781285354
7;44;51.54982922210863
7;45;48.972337761003196
7;46;46.523720872953035
7;47;44.19753482930538
7;48;41.98765808784011
7;49;39.8882751834481
7;50;37.89386142427569
7;51;35.999168353061904
7;52;34.19920993540881
7;53;32.48924943863837
7;54;30.864786966706447
7;55;29.321547618371124
7;56;27.855470237452565
7;57;26.462696725579935
7;58;25.139561889300936
7;59;23.882583794835888
7;60;22.688454605094094
7;61;21.55403187483939
7;62;20.476330281097418
7;63;19.452513767042547
7;64;18.47988807869042
7;65;17.555893674755897
7;66;16.6780989910181
7;67;15.844194041467194
7;68;15.051984339393833
7;69;14.299385122424141
7;70;13.584415866302933
8;1;557.122275
8;2;529.2661612499999
8;3;502.80285318749986
8;4;477.6627105281249
8;5;429.8964394753124
8;6;343.91715158024994
8;7;326.7212940012374
8;8;310.3852293011755
8;9;294.86596783611674
8;10;280.1226694443109
8;11;266.11653597209533
8;12;252.81070917349055
8;13;240.170173714816
8;14;228.16166502907518
8;15;216.7535817776214
8;16;205.91590268874032
8;17;195.6201075543033
8;18;185.83910217658814
8;19;176.54714706775871
8;20;167.71978971437076
8;21;159.33380022865222
8;22;151.36711021721962
8;23;143.79875470635864
8;24;136.6088169710407
8;25;129.77837612248868
8;26;123.28945731636423
8;27;117.12498445054602
8;28;111.26873522801871
8;29;105.70529846661778
8;30;100.42003354328688
8;31;95.39903186612253
8;32;90.6290802728164
8;33;86.09762625917557
8;34;81.79274494621679
8;35;77.70310769890594
8;36;73.81795231396063
8;37;70.1270546982626
8;38;66.62070196334946
8;39;63.289666865181985
8;40;60.125183521922885
8;41;57.11892434582674
8;42;54.2629781285354
8;43;51.54982922210863
8;44;48.972337761003196
8;45;46.523720872953035
8;46;44.19753482930538
8;47;41.98765808784011
8;48;39.8882751834481
8;49;37.89386142427569
8;50;35.999168353061904
8;51;34.19920993540881
8;52;32.48924943863837
8;53;30.864786966706447
8;54;29.321547618371124
8;55;27.855470237452565
8;56;26.462696725579935
8;57;25.139561889300936
8;58;23.882583794835888
8;59;22.688454605094094
8;60;21.55403187483939
